Destination ,Latitude,Longitude,Rating,Short Descriptin,Image
Sigiriya Lion Rock,7.9571127,80.760257,4.6,Ancient Ruins • Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ed/85/6b/um-palacio-no-topo-da.jpg?w=1000&h=-1&s=1
Temple of the Sacred Tooth Relic,7.293609,80.641325,4.2,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/31/67/5d/kandy-lake-and-the-temple.jpg?w=900&h=700&s=1
Little Adam's Peak View Point,6.8640932,81.0647229,4.6,Lookouts • Hiking Trails,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/3a/63/e6/viewpoint-photography.jpg?w=1000&h=800&s=1
Udawalawe National Park,6.4746288,80.876319,4.6,National Parks • Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a3/64/07/udawalawe-national-park.jpg?w=600&h=-1&s=1
Pidurangala Rock,7.9679596,80.7609684,4.8,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/a2/b0/2d/top-of-the-pidurangala.jpg?w=1000&h=800&s=1
Bentota Beach,6.4234707,79.9953199,4.5,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/4e/dc/bc/beach.jpg?w=900&h=700&s=1
Royal Botanical Gardens,43.2903892,-79.8753717,4.5,Points of Interest & Landmarks • Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=1000&h=800&s=1
Galle Dutch Fort,6.0304592,80.2150207,4.4,Historic Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/24/05/e0/galle-fort.jpg?w=1000&h=-1&s=1
Nine Arches Bridge,53.3079467,-6.2514763,4.4,Points of Interest & Landmarks • Bridges,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/70/43/e4/nine-arch-bridge-demodara.jpg?w=1000&h=-1&s=1
Sea Turtle Farm Galle Mahamodara,6.0382059,80.2049409,4.6,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2c/d6/14/sea-turtle-farm.jpg?w=200&h=-1&s=1
Pinnawala Elephant Orphanage,7.3008545,80.388855,3.5,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5b/ae/47/the-orphanage-was-founded.jpg?w=1000&h=800&s=1
Gangaramaya Temple,6.9167145,79.8566456,4.2,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=1000&h=800&s=1
Mirissa Beach,5.9447028,80.4591608,4.3,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/96/58/df/plaz-z-jizniho-vybezku.jpg?w=1000&h=-1&s=1
Golden Temple of Dambulla,7.8549141,80.6505699,4.4,Caverns & Caves • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/29/9d/fa/the-great-golden-buddha.jpg?w=1000&h=-1&s=1
Jungle Beach,6.0186943,80.2394104,3.7,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/45/a4/71/jungle-beach.jpg?w=1000&h=800&s=1
Ella Rock,-35.0981999,136.94397,4.6,Geologic Formations,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/b1/08/35/sri-lanka-tour-packageshtml.jpg?w=1000&h=700&s=1
Horton Plains National Park,6.809446,80.8023333,4.4,National Parks • Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/46/1e/13/img-20180227-161024-707.jpg?w=1000&h=-1&s=1
Elephant Freedom Project,7.2671311,80.3806184,4.9,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/f1/3b/35/caption.jpg?w=1000&h=-1&s=1
Hikkaduwa Beach,6.1377266,80.0990596,4.2,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/82/0b/5f/image-result-for-importance.jpg?w=1000&h=800&s=1
Liptonâ€™s Seat,6.7806559,81.0155175,4.7,Historic Sites • Lookouts,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e7/46/09/lovely-tour-lipton-seat.jpg?w=800&h=-1&s=1
Sinharaja Forest Reserve,6.4069908,80.4600266,4.4,Forests,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/9b/6e/ff/oriental-dwarf-kingfisher.jpg?w=1000&h=-1&s=1
Ravana Ella Falls,6.841092,81.054831,3.8,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/c7/d5/00/rawana-ella-falls-ella.jpg?w=800&h=-1&s=1
Colombo National Museum,6.9099984,79.860913,3.8,History Museums,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/7c/8a/e0/colombo-national-museum.jpg?w=1000&h=800&s=1
Dambulla Cave Temple,7.8549141,80.6505699,4.5,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/b5/60/e9/inside-the-second-cave.jpg?w=1000&h=800&s=1
Turtle Hatchery Hikkaduwa,6.1640093,80.0904514,4.1,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5e/80/09/activetourshikka.jpg?w=300&h=-1&s=1
Minneriya National Park,8.0156443,80.8446703,4.3,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/b9/7c/f5/minneriya-national-park.jpg?w=600&h=500&s=1
Mihintale,8.3534232,80.5049445,4.6,Points of Interest & Landmarks • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/48/ab/96/photo8jpg.jpg?w=1000&h=-1&s=1
Mount Lavinia Beach,6.8383817,79.862924,4,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/36/67/75/caption.jpg?w=1000&h=800&s=1
Ancient City of Polonnaruwa,7.9519597,81.0047819,4.4,Historic Sites • Ancient Ruins,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/df/cb/cb/polonnaruwa-gal-viharaya.jpg?w=1000&h=800&s=1
Horton Plains National Park,6.809446,80.8023333,4.2,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/85/1c/01/horton-plains-national.jpg?w=1000&h=800&s=1
Galle Face Green,6.9237882,79.8449324,3.8,Beaches • Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/ac/99/0c/galle-face-beach-seen.jpg?w=1000&h=800&s=1
Sri Pada / Adam's Peak,6.809643,80.4993882,4.4,Mountains,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/c5/31/d0/adams-peak.jpg?w=1000&h=800&s=1
Pigeon Island National Park,8.7213883,81.2037857,4,National Parks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/0c/b8/01/getlstd-property-photo.jpg?w=1000&h=-1&s=1
Dutch Hospital Shopping Precinct,6.9335201,79.8435129,4,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=1000&h=800&s=1
Ruwanweli Maha Seya,8.3499705,80.3961599,4.5,Architectural Buildings • Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=1000&h=-1&s=1
Gregory Lake,34.242901,-117.275233,3.9,Bodies of Water,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9a/0e/da/img-20191229-wa0123-largejpg.jpg?w=1000&h=-1&s=1
Negombo Beach,7.2442572,79.8409322,3.2,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ba/1b/4e/magnificent-sunset.jpg?w=1000&h=800&s=1
Negombo Fish Market,7.2102612,79.8313577,4,Flea & Street Markets,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/af/e7/3b/by-swift314.jpg?w=1000&h=800&s=1
Bahiravakanda Vihara Buddha Statue,,,4,Monuments & Statues,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/70/04/46/the-buddha-notice-the.jpg?w=1000&h=-1&s=1
Marble Beach,40.7505162,24.7481063,4,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/72/ba/a4/photo1jpg.jpg?w=1000&h=-1&s=1
Temple Of Sri Kailawasanathan Swami Devasthanam Kovil,,,4.2,Religious Sites,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/8d/68/fe/very-pretty-and-had-our.jpg?w=1000&h=800&s=1
Pedro Tea Factory,6.9527433,80.7737244,3.8,Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/53/64/a1/20170203-014610-largejpg.jpg?w=700&h=500&s=1
Wilpattu National Park,8.4581819,80.0518306,4.1,Nature & Wildlife Areas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/14/a7/c4/attraction-review-d16852892.jpg?w=700&h=500&s=1
Pettah,6.9367858,79.8525385,3.5,Neighborhoods,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d4/e7/68/pettah.jpg?w=1000&h=800&s=1
Ramboda Waterfall,7.0545692,80.705331,4.4,Waterfalls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/38/c6/c6/3-ramboda-falls.jpg?w=1000&h=800&s=1
One Galle Face,6.9271601,79.8446964,4.1,Shopping Malls,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/dd/f7/8a/photo0jpg.jpg?w=1000&h=-1&s=1
Mulgirigala Raja Maha Vihara,6.1224678,80.7382176,4.4,Historic Sites • Ancient Ruins,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/4e/5d/19/mulgirigala-rock-temple.jpg?w=800&h=-1&s=1
Passikudah Beach,7.9299939,81.5611852,4.5,Beaches,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/fb/1d/af/20190226-125426-largejpg.jpg?w=1000&h=800&s=1
Old Town of Galle and its Fortifications,6.0328948,80.2167912,4.4,Historic Sites • Points of Interest & Landmarks,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/5e/6b/8d/along-the-wall.jpg?w=400&h=-1&s=1
