Name,Category,Rooms,Address,District,Province,Coordinates,Notes
Cinnamon Grand,5-Star,501,"77, Galle Road, Colombo 03",Colombo,Western,,
Cinnamon Lakeside,5-Star,352,"115, Sri Chitampalam A Gardiner Mw, Colombo 02",Colombo,Western,,
Cinnamon Life,5-Star,687,"No. 01, Justice Akbar Mw, Colombo 02",Colombo,Western,,
Hilton Colombo,5-Star,382,"2, Sir Chittampalam A Gardiner Mw, Colombo 02",Colombo,Western,,
Shangri-La Colombo,5-Star,500,"1, Galle Face, Colombo 02",Colombo,Western,,
Cinnamon Bentota Beach,5-Star,133,"Galle Road, Bentota",Galle,Southern,,
Heritance Kandalama,5-Star,162,"P.O. Box 11, Dambulla",Matale,Central,"7.8631, 80.7150",
Anantara Kalutara,5-Star,141,"St. Sebastians Road, Katukurunda",Kalutara,Western,"6.5854, 79.9607",
Anantara Peace Haven,5-Star,152,"Goyambokka Estate, Tangalle",Hambantota,Southern,"6.0242, 80.7938",
Heritance Ahungalle,5-Star,154,Ahungalle,Galle,Southern,"6.3117, 80.0333",
The Kingsbury,5-Star,229,"48, Janadhipathi Mw, Colombo 01",Colombo,Western,,
NH Collection Col,5-Star,219,"480, Galle Road, Colombo 03",Colombo,Western,,
Uga Ulagalla,Boutique Eco,,"Thirappane, Anuradhapura",Anuradhapura,,"8.2120, 80.5480",
98 Acres Resort,Boutique Hotel,43,"Namunukula Road, Ella",Badulla,Uva,"6.8780, 81.0620",Built within a tea estate
Kahanda Kanda,Boutique Villa,6,"Agulugaha, Galle",Galle,Southern,"6.0240, 80.2728",
The Notary's House,Boutique Hotel,,"Makandura, Pannala",Kurunegala,,"7.3320, 79.9880",
Malabar Hill,Boutique Hotel,,"Palatuwa, Weligama",Matara,,"5.9780, 80.4280",
Lake Lodge,Boutique Villa,,"Wewa Road, Kandalama",Matale,,"7.8631, 80.6903",
Mount Havana,Boutique Villa,5,"Watthena, Gampola",Kandy,,"7.1449, 80.5995",
River House,Boutique Villa,,"Walagedera, Balapitiya",Galle,,"6.2606, 80.0433",
Villa Saffron,Boutique Villa,,Hikkaduwa,Galle,,"6.1222, 80.1137",
Mirage Kings Cottage,Boutique Villa,,"Havelock Drive, Nuwara Eliya",Nuwara Eliya,,"6.9620, 80.7680",
Reef Villa & Spa,Boutique Villa,,"78, Samanthara Rd, Wadduwa",Kalutara,,"6.6590, 79.9283",
Jims Farm Villa,Boutique Hotel,,"Ahelapola, Pellepola",Matale,,"7.6214, 80.6199",
Galle Face Hotel,Heritage,,Colombo,Colombo,,,Established 1864
Grand Oriental Hotel,Heritage,,Colombo,Colombo,,,Established 1875
Queen's Hotel,Heritage,,Kandy,Kandy,Central,"7.2914, 80.6367",Established 1869
Grand Hotel,Heritage,,Nuwara Eliya,Nuwara Eliya,,,Established 1891
St. Andrew's Hotel,Heritage,,Nuwara Eliya,Nuwara Eliya,,,Established 1875
Amangalla,Heritage,,Galle Fort,Galle,,,Established 1865
Mount Lavinia Hotel,Heritage,,Mt. Lavinia,Colombo,,,Established 1877
Hotel Suisse,Heritage,,Kandy,Kandy,,,WWII SEAC Headquarters
Empire Hotel,Heritage,,Kandy,Kandy,,,Established 1898
The Kandy House,Heritage,,Gunnepana,Kandy,,,Established 1804
Cinnamon Wild,Wildlife Resort,,Yala,Hambantota,,,Jungle-blend luxury
Rainforest Eco Lodge,Eco Resort,,Sinharaja,Matara,Southern,"6.3680, 80.5640",Naturalistic forest stay
Centauria Wild,4-Star Hotel,,Udawalawe,Ratnapura,,,Wilderness proximity
Leopard Trails,Safari Camp,,Wilpattu,Puttalam,,,Luxury tented lodge
Gal Oya Lodge,Eco Lodge,,Bibile Road,Ampara,Eastern,"7.2280, 81.5620",High-end responsible tourism
Back of Beyond,Eco Resort,,Sigiriya,Matale,,,Rustic nature stay
Jetwing Vil Uyana,Eco Resort,,Sigiriya,Matale,Central,"7.9570, 80.7600",Named best eco-hotel (2023)
Wild Coast Tented Lodge,Luxury Tented,,Yala,Hambantota,Southern,"6.3420, 81.4320",Mind-blowing nature design
Mahoora Tented,Safari Camp,,Sinharaja,Matara,,,Unique camping experience
Thaulle Resort,Mid-range,,Yala,Hambantota,,,Near Yala/Tissamaharama
Aana Guest House,Guest House,,"A9 Road, Kanagarayankulam",Vavuniya,,,Valid till 2026
Aarya Hotel,Guest House,,"Kolongalla Estate, Randeniya",Kegalle,,,Valid till 2026
Adaviya Resort,Guest House,,"44 1/2, Padiyathalawa Rd",Mahiyanganaya,,,Valid till 2026
Agandau House,Guest House,,"15/A/4, Basiyawatta, Negombo",Negombo,,,Valid till 2026
Agnus Hotel,Guest House,,"Bonavista Road, Rumassala",Habaraduwa,,,Valid till 2026
Akway Resort,Guest House,,"Manikkawatte, Nikapotha",Haldummulla,,,Valid till 2026
Amalya Reach,Guest House,,"556, Moragahahena Rd, Pitipana",Homagoma,,,Registered
Hilton Residences,Apartment,165,"200, Union Place, Colombo 02",Colombo,Western,"6.9200, 79.8580",5-Star Class
Cinnamon Lodge,Unclassified,,Habarana,Anuradhapura,N. Central,"8.0345, 80.7512",
Shangri-La Hambantota,Unclassified,,Ambalantota,Hambantota,Southern,"6.1246, 81.1011",
The Fortress,Unclassified,,Koggala,Galle,Southern,"5.9920, 80.3150",
Saman Villas,Unclassified,,Bentota,Galle,Southern,"6.4215, 79.9984",
Boulder Garden,Unclassified,,Kalawana,Ratnapura,Sabaragamuwa,"6.5146, 80.3859",
Cape Weligama,Unclassified,,Weligama,Matara,Southern,"5.9730, 80.4350",
Uga Chena Huts,Unclassified,,Yala,Hambantota,Southern,"6.3530, 81.4240",
Santani Wellness,Unclassified,,Werapitiya,Kandy,Central,"7.3320, 80.7200",
Ceylon Tea Trails,Unclassified,,Hatton,Nuwara Eliya,Central,"6.8400, 80.6040",
Amanwella,Unclassified,,Tangalle,Hambantota,Southern,"6.0240, 80.7930",
