web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,image
"1776666626-1","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Coconut Escapes","Kurunegala","With Kandy Royal Botanic Gardens reachable in 22 miles, Coconut Escapes offers accommodations, a restaurant, a garden, a terrace, and a bar.","Scored 8.3","8.3","Very Good","· 41 reviews","","Opens in new window","Show prices","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/332117562.webp?k=1428e4251bafb69f2e1433f63859388ae25946619bde228d22ff0ed451c21811&o="
"1776666626-2","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Lakeside Base Camp","Paragahadeniya","Featuring water sports facilities, Lakeside Base Camp provides accommodations in Paragahadeniya. This campground features free private parking and a 24-hour front desk.","","","","","","Opens in new window","Show prices","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/693540930.webp?k=0720f704d5fc8da23d68deb7d297719ee06e4a0293e0923b64e4fcdba6f6b5cf&o="
"1776666626-3","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Ahas Pokuna Holiday Resort","Kurunegala","Located in Kurunegala, 24 miles from Kandy Royal Botanic Gardens, Ahas Pokuna Holiday Resort provides accommodations with a garden, free private parking, a terrace and a restaurant.","Scored 8.0","8.0","Very Good","· 4 reviews","","Opens in new window","Show prices","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/726282905.webp?k=db1a8b5159c26456e3cc95e4b4ce7f2b7c6fe2550b1040c8055686815ecfef89&o="
"1776666626-4","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Singha Holiday Bungalow","Ibbagomuwa","Located in Ibbagomuwa, 25 miles from Kandy Royal Botanic Gardens, Singha Holiday Bungalow has accommodations with an outdoor swimming pool, free private parking, a garden and a terrace.","","","","","","Opens in new window","Show prices","Show on map","New to Booking.com","https://cf.bstatic.com/xdata/images/hotel/square600/845617452.webp?k=647005fc18f2fdc49134a0438b29966d1f6bf7cad758ae67878e32e850e59c2b&o="
"1776666626-5","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Deduru Oya Cinnamon Gardens","Barandara","Located in Barandara, 24 miles from Kandy Royal Botanic Gardens, Deduru Oya Cinnamon Gardens provides accommodations with a garden, free private parking and a restaurant.","","","","","","Opens in new window","Show prices","Show on map","New to Booking.com","https://cf.bstatic.com/xdata/images/hotel/square600/810488438.webp?k=603f5b48df10c0be527df17494172c5604b54b681f83a8db5c77f28be1f5aabf&o="
"1776666626-6","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Deduru Cabana Nature Resort","Kurunegala","Deduru Cabana Nature Resort has a garden, a shared lounge and a sun terrace with swimming pool and buffet breakfast in Kurunegala.","Scored 8.2","8.2","Very Good","· 18 reviews","","Opens in new window","Show prices","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/646201536.webp?k=7790758caad307c6ab0c6bf5e0c986c1a5b82d3d7119b0bef0f5237727d26088&o="
"1776666626-7","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Xotic Resort","Kurunegala","Located in Kurunegala, 16 miles from Kandy Royal Botanic Gardens, Xotic Resort provides accommodations with an outdoor swimming pool, free private parking, a garden and a terrace.","Scored 8.4","8.4","Very Good","· 15 reviews","Value for money 9.0","Opens in new window","Show prices","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/643646694.webp?k=7b80a5db107ee16de01e5485eb20c3ac33a21dd51140783351cad8e61f697d1b&o="
"1776666626-8","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Thehideout kurunegala","Kurunegala","Thehideout kurunegala offers accommodations in Kurunegala, 28 miles from Kandy Royal Botanic Gardens and 28 miles from Kandy Train Station.","","","","","","Opens in new window","Show prices","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/741446085.webp?k=f5899cd75818fc46fad747e084c25536d1be42d65eda73b5fce3aaa7a2b3ebb1&o="
"1776666626-9","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","Anchorage Apartment","Kurunegala","Anchorage Apartment offers accommodations in Kurunegala, 26 miles from Kandy Royal Botanic Gardens and 27 miles from Kandy Train Station.","Scored 9.1","9.1","Wonderful","· 14 reviews","Value for money 9.3","Opens in new window","Show prices","Show on map","New to Booking.com","https://cf.bstatic.com/xdata/images/hotel/square600/820701960.webp?k=8795bc7535626605570ff5f1aca9cb8f07a1959b1daa9e7946af1db856c51401&o="
"1776666626-10","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=distance_from_search","The Epitome Hotel","Kurunegala","Located in Kurunegala, 29 miles from Kandy Royal Botanic Gardens, The Epitome Hotel provides accommodations with an outdoor swimming pool, free private parking, a garden and a shared lounge.","Scored 6.9","6.9","Review score","· 51 reviews","","Opens in new window","Show prices","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/479073392.webp?k=b1245d43aa44091bc05f52d110b08da404af6e0565deff11748602e09cd698b6&o="
