id,hotel_name,description,rating,distance_km,latitude,longitude,extracted_city,facilities,address,hotel_url,image_url
1,Coconut Escapes,,8.3,8.3,,,,,,https://www.booking.com/hotel/lk/coconut-escapes.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/332117562.webp?k=1428e4251bafb69f2e1433f63859388ae25946619bde228d22ff0ed451c21811&o=
2,Lakeside Base Camp,"Featuring water sports facilities, Lakeside Base Camp provides accommodations in Paragahadeniya. This campground features free private parking and a 24-hour front desk.",,,7.417751,80.472645,Paragahadeniya,,,https://www.booking.com/hotel/lk/lakeside-base-camp.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/693540930.webp?k=0720f704d5fc8da23d68deb7d297719ee06e4a0293e0923b64e4fcdba6f6b5cf&o=
3,Ahas Pokuna Holiday Resort,,8.0,8.0,,,,,,https://www.booking.com/hotel/lk/ahas-pokuna-holiday-resort.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/726282905.webp?k=db1a8b5159c26456e3cc95e4b4ce7f2b7c6fe2550b1040c8055686815ecfef89&o=
4,Singha Holiday Bungalow,"Located in Ibbagomuwa, 25 miles from Kandy Royal Botanic Gardens, Singha Holiday Bungalow has accommodations with an outdoor swimming pool, free private parking, a garden and a terrace.",,,,,Ibbagomuwa,,,https://www.booking.com/hotel/lk/singha-holiday-bungalow.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/845617452.webp?k=647005fc18f2fdc49134a0438b29966d1f6bf7cad758ae67878e32e850e59c2b&o=
5,Deduru Oya Cinnamon Gardens,"Located in Barandara, 24 miles from Kandy Royal Botanic Gardens, Deduru Oya Cinnamon Gardens provides accommodations with a garden, free private parking and a restaurant.",,,7.383058,80.490251,Barandara,,,https://www.booking.com/hotel/lk/deduru-oya-cinnamon-gardens.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/810488438.webp?k=603f5b48df10c0be527df17494172c5604b54b681f83a8db5c77f28be1f5aabf&o=
6,Deduru Cabana Nature Resort,,8.2,8.2,,,,,,https://www.booking.com/hotel/lk/deduru-cabana-nature-resort.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/646201536.webp?k=7790758caad307c6ab0c6bf5e0c986c1a5b82d3d7119b0bef0f5237727d26088&o=
7,Xotic Resort,,8.4,8.4,,,,,,https://www.booking.com/hotel/lk/xotic-resort.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/643646694.webp?k=7b80a5db107ee16de01e5485eb20c3ac33a21dd51140783351cad8e61f697d1b&o=
8,Thehideout kurunegala,"Thehideout kurunegala offers accommodations in Kurunegala, 28 miles from Kandy Royal Botanic Gardens and 28 miles from Kandy Train Station.",,,7.487046,80.364908,Kurunegala,,,https://www.booking.com/hotel/lk/thehideout-kurunegala.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/741446085.webp?k=f5899cd75818fc46fad747e084c25536d1be42d65eda73b5fce3aaa7a2b3ebb1&o=
9,Anchorage Apartment,,9.1,9.1,,,,,,https://www.booking.com/hotel/lk/anchorage-apartment.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/820701960.webp?k=8795bc7535626605570ff5f1aca9cb8f07a1959b1daa9e7946af1db856c51401&o=
10,The Epitome Hotel,,6.9,6.9,7.507694,80.404359,,,,https://www.booking.com/hotel/lk/the-epitome-hotel.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/479073392.webp?k=b1245d43aa44091bc05f52d110b08da404af6e0565deff11748602e09cd698b6&o=
11,The Hideaway,,9.0,9.0,6.821772,81.039545,,,,https://www.booking.com/hotel/lk/the-hideaway.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/456912198.webp?k=b82e252713b9b7583940eb186fee6a1a2fe3d0b3edf4ee96462d8a41af7f05e3&o=
12,Sewana Cottage,"Offering a garden, Sewana Cottage offers accommodations in Kurunegala.",,,7.487046,80.364908,Kurunegala,,,https://www.booking.com/hotel/lk/sewana-cottage.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/847114097.webp?k=a4856587941f1849c9ed25e07b22349dc8e827897d4a881ce494bcee9c564eae&o=
13,Pahan Villa,"Offering a garden, Pahan Villa offers accommodations in Siyambalangamuwa. This property offers access to a balcony, free private parking, and free Wifi.",,,7.670108,80.48043,Siyambalangamuwa,,,https://www.booking.com/hotel/lk/pahan-villa.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/816575514.webp?k=e492a0f378b214fe532483bce87eeb070653ab48b04236089832eeeb11be0489&o=
14,Lake Entrance,,8.7,8.7,,,,,,https://www.booking.com/hotel/lk/lake-entrance.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/653265951.webp?k=10e3ef8a3548da06e7b4b5ce6401ad71dc8e91e3d3b7b83b497890a38c40e767&o=
15,Dnhw,"Located in Ibbagomuwa, 28 miles from Kandy Royal Botanic Gardens, Dnhw has accommodations with a garden, free private parking and a terrace. This 3-star hotel offers room service.",,,,,Ibbagomuwa,,,https://www.booking.com/hotel/lk/dnhw.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/644998897.webp?k=4cec51fe44b2cf4a91ce8a9cd411dbadc5f7699d0732749364dac0390a3ec8f6&o=
16,Lotus Cool Hotel,,9.4,9.4,,,,,,https://www.booking.com/hotel/lk/lotus-cool-hotel.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/500235932.webp?k=8e8b2fbcaf7d5d1f82b0b0d7602de970ecc1aa35e003cab2982afe98d567209a&o=
17,The Far Pavilion by Edwards Collection - Pinnawala,"Providing mountain views, The Far Pavilion by Edwards Collection - Pinnawala in Pinnawala provides accommodations, an outdoor swimming pool, a garden, a shared lounge and a terrace.",,,,,,,,https://www.booking.com/hotel/lk/the-far-pavilion-by-edwards-collection-pinnawala.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/228703358.webp?k=654d10a0996a04cf4aee2d219c15fab7996ed969e4aad60741281dfcdaf5204e&o=
18,Surathura homestay,,8.8,8.8,,,,,,https://www.booking.com/hotel/lk/surathura-homestay.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/223498986.webp?k=6cb497e542fbc5b9c46856e175d5f5e5eafd85764260629dda764bbff4c36e47&o=
19,Polaris- Kurunegala,,10.0,10.0,,,,,,https://www.booking.com/hotel/lk/polaris-kurunegala.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/735500707.webp?k=583159f072e0f701890fa9e67ee92d0c68f88b228ab10fd92d48d9e054bd28af&o=
20,Mapa Group Rest House,,8.2,8.2,,,,,,https://www.booking.com/hotel/lk/mapa-group-rest-house.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/759941948.webp?k=9049a27cf905d597ec5c34f6befbebe1cb45bc71a142fc97fbf13e87db947292&o=
21,Kandyan Reach Hotel,,8.4,8.4,7.47899,80.372348,,,,https://www.booking.com/hotel/lk/kandyan-reach-hotel.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/671278189.webp?k=4d7cfde1a8bc08311d5a986bc93429631b5486fc51eba24136842f032ea46715&o=
22,Coco Villa Farm Stay B&B- Only For Foreign Bookings,,9.9,9.9,,,,,,https://www.booking.com/hotel/lk/coco-villa-farm-stay-b-b-only-for-foreign-bookings.en-gb.html,https://cf.bstatic.com/xdata/images/hotel/square600/805372001.webp?k=607270613d050bf59f4cc10229c8f7c9d50c550031912472a777f1a75fc4c18b&o=
