web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,image
"1777055575-1","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","Geoffrey Bawa's Home Number 11","Colombo","Scored 9.8","9.8","Geoffrey Bawa's Home Number 11 enjoys a location in Colombo, 3.3 miles from Khan Clock Tower and 3.6 miles from R Premadasa Stadium. With city views, this accommodation features a terrace.","· 145 reviews","Value for money 8.8","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/153923171.webp?k=7b6d234ef8f02c8c70db94c99d6340ceef1dfc386b29ddb7bf64793b3f59d1e6&o="
"1777055575-2","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","IGN Residence Colombo","Colombo","Scored 9.8","9.8","IGN Residence Colombo is a recently renovated guest house in Colombo, near Bambalapitiya Beach. This guest house features free private parking, a 24-hour front desk, and free Wifi.","· 23 reviews","Value for money 9.6","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/681462368.webp?k=e034233d8d642891e3218713b38dff8956102d19466b7cd7d0dc743d208adeca&o="
"1777055575-3","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","VAUX Park Street Hotel - A collection of 8 luxury lofts","Colombo","Scored 9.7","9.7","A good location for a hassle-free holiday in Colombo, VAUX Park Street Hotel - A collection of 8 luxury lofts is a condo hotel surrounded by views of the city.","· 304 reviews","Value for money 9.5","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/497563792.webp?k=697ed5e5a75247bad3525fbb7a56521176661594920b1f37e1c1b68fbd4c7a4b&o="
"1777055575-4","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","Maniumpathy Hotel","Borella, Colombo","Scored 9.5","9.5","Maniumpathy Hotel has a garden, a shared lounge and a sun terrace with swimming pool and continental breakfast in Colombo.","· 195 reviews","Value for money 9.0","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/758781850.webp?k=6744e5279917db6ac1cbc4ae5cf7632ca0f90c7dd73a4b05649411bc25236ef3&o="
"1777055575-5","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","Jetwing Ratnam Residence","Colombo","Scored 9.5","9.5","Located within 2.1 miles of Bambalapitiya Railway Station and 3.5 miles of R Premadasa Stadium, Jetwing Ratnam Residence has rooms in Colombo.","· 29 reviews","Value for money 9.7","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/741531637.webp?k=7c0b0edd8adce5dfb773555dd300143f2f00598fb99a88fa051e10b85248894b&o="
"1777055575-6","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","Platinum 1","Colombo","Scored 9.4","9.4","Platinum 1 is located in Colombo, just 3.1 miles from Khan Clock Tower and 4.2 miles from R Premadasa Stadium. With city views, this accommodation features a swimming pool.","· 31 reviews","Value for money 9.2","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/479721258.webp?k=64711b411262cdd2b5839a576e486eb895bc1f188f2890ed83f2a9819a6e9af8&o="
"1777055575-7","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","De Saram House by Geoffrey Bawa","Cinnamon Gardens, Colombo","Scored 9.2","9.2","Conveniently set in the Cinnamon Gardens district of Colombo, De Saram House by Geoffrey Bawa is located 1.8 miles from Kollupitiya Beach, 2.8 miles from Bambalapitiya Railway Station and 2.9 miles...","· 481 reviews","Value for money 8.9","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/248939562.webp?k=c5fb4ea68e57cba0fc20274e4c12a80830457fcc284fdffcf6547439ffc43d16&o="
"1777055575-8","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","Seilan","Colombo","Scored 9.1","9.1","Located in Colombo, a 17-minute walk from Kollupitiya Beach, Seilan provides accommodations with a garden, free private parking, a terrace and a restaurant.","· 194 reviews","Value for money 9.3","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/729515087.webp?k=0d49f65a03a361524d7b62c4738e4fe265b21271af6dd70a56e2b0f7da1209ea&o="
"1777055575-9","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","Taprobane House","Colombo","Scored 9.1","9.1","Located in Colombo, a 2-minute walk from Bambalapitiya Beach, Taprobane House provides accommodations with an outdoor swimming pool, free private parking, a terrace and a restaurant.","· 871 reviews","Value for money 9.0","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/521056491.webp?k=03837ffb00ca656a1e20acf1fa86fcb7c99e4e640c1db4849590b47325ccc7fb&o="
"1777055575-10","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D5510%3Bpopular_nearby_landmarks%3D900053661%3Bpopular_nearby_landmarks%3D900070379%3Bpopular_nearby_landmarks%3D900069601%3Bpopular_nearby_landmarks%3D900059529%3Bpopular_nearby_landmarks%3D900069602%3Bpopular_nearby_landmarks%3D900069603","","Cinnamon Life at City of Dreams","Colombo","Scored 9.0","9.0","Located in Colombo, a 8-minute walk from Galle Face Beach, Cinnamon Life at City of Dreams has accommodations with an outdoor swimming pool, free private parking and a bar.","· 1,542 reviews","Value for money 8.8","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/588945741.webp?k=9cdf94ab82a7670b16bc08613a783ca56d0c6bd943d267a7a29fa08771ebcf36&o="
