Name,Category,Address,District,Province,Latitude,Longitude
Uga Ulagalla,Boutique Eco Resort,"Thirappane, Anuradhapura",Anuradhapura,North Central,8.212,80.548
Cinnamon Grand Hotel,5-Star Resort,"77 Galle Road, Colombo 03",Colombo,Western,6.9175,79.8484
Rainforest Eco Lodge,Eco Resort,Deniyaya,Matara,Southern,6.368,80.564
Wild Coast Tented Lodge,Wildlife Resort,"Palatupana, Yala",Hambantota,Southern,6.342,81.432
Hilton Residences,Apartment,"200 Union Place, Colombo 02",Colombo,Western,6.92,79.858
Kahanda Kanda,Boutique Villa,Agulugaha,Galle,Southern,6.024,80.2728
Heritance Kandalama,5-Star Resort,Dambulla,Matale,Central,7.8631,80.715
Gal Oya Lodge,Boutique Eco Lodge,Bibile Road,Ampara,Eastern,7.228,81.562
Amangalla,Heritage Boutique,"10 Church Street, Fort, Galle",Galle,Southern,6.0289,80.2169
Amanwella,Boutique Hotel,"Wella Wathuara, Tangalle",Hambantota,Southern,6.0061,80.7773
Saman Villas,Boutique Hotel,"Aturuwella, Induruwa",Galle,Southern,6.3955,80.0044
Boulder Garden,Boutique Eco Hotel,"Koswatta, Kalawana",Ratnapura,Sabaragamuwa,6.5146,80.3859
98 Acres Resort,Boutique Hotel,"Namunukula Road, Ella",Badulla,Uva,6.878,81.062
Jims Farm Villa,Boutique Hotel,"Ahelapola, Pellepola",Matale,Central,7.6214,80.6199 [6]
The Fortress,5-Star Resort,Koggala,Galle,Southern,5.9865,80.3264
Cape Weligama,Boutique Resort,"Abimanagama Rd, Weligama",Matara,Southern,5.973,80.435
Santani Wellness,Boutique Resort,Werapitiya,Kandy,Central,7.332,80.72
Ceylon Tea Trails,Boutique Resort,Hatton,Nuwara Eliya,Central,6.84,80.604
Rock Villa,Boutique Villa,"Neelisgewatta, Bentota",Galle,Southern,6.4135,79.9973
Mirage Kings Cottage,Boutique Villa,111 Havelock Drive,Nuwara Eliya,Central,6.9641,80.7723
Villa Saffron,Boutique Villa,776 Galle Road,Galle,Southern,6.1222,80.1137 [6]
Reef Villa & Spa,Boutique Villa,78 Samanthara Rd,Kalutara,Western,6.6589,79.9282 [6]
Anantara Kalutara Resort,5-Star Resort,Katukurunda,Kalutara,Western,6.5854,79.9607
Anantara Peace Haven,5-Star Resort,Goyambokka Estate,Hambantota,Southern,6.0242,80.7938
