web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,image
"1777053257-1","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","Sundaras Sigiriya Jungles Resort","Scored 10","10","Value for money 10","Located in Dambulla, 12 miles from Sigiriya Rock, Sundaras Sigiriya Jungles Resort provides accommodations with a garden, free private parking, a terrace and a restaurant.","· 6 reviews","Opens in new window","Dambulla","Show prices","Exceptional","Show on map","New to Booking.com","https://cf.bstatic.com/xdata/images/hotel/square600/851046227.webp?k=6fce69e81706a105f0191014c664e33a9d83b1492a2600486c565775983f22ae&o="
"1777053257-2","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","The Classic Crown Sigiriya","Scored 10","10","Value for money 10","Located in Sigiriya, 2.2 miles from Pidurangala Rock, The Classic Crown Sigiriya has accommodations with a garden, free WiFi, room service, and a 24-hour front desk.","· 7 reviews","Opens in new window","Sigiriya","Show prices","Exceptional","Show on map","New to Booking.com","https://cf.bstatic.com/xdata/images/hotel/square600/822162654.webp?k=cef7c7adf59bab3db7fedcf9ca1bd2f714236b49c36fac7a52450caaa18f5909&o="
"1777053257-3","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","Serenity house in Dambulla","Scored 10","10","Value for money 9.9","Serenity house in Dambulla is located in Dambulla, just 12 miles from Sigiriya Rock and 14 miles from Pidurangala Rock. This property offers access to a terrace and free private parking.","· 35 reviews","Opens in new window","Dambulla","Show prices","Exceptional","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/590297329.webp?k=d2dd82adae0d0ed0824f5e09167b661f18f2416c54638df685456661850a05cf&o="
"1777053257-4","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","The Mirror Wall Sigiriya","Scored 9.9","9.9","Value for money 9.9","Located in Sigiriya, within 2.4 miles of Sigiriya Rock and 2.5 miles of Pidurangala Rock, The Mirror Wall Sigiriya has accommodations with a terrace as well as free private parking for guests who...","· 40 reviews","Opens in new window","Sigiriya","Show prices","Exceptional","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/749902387.webp?k=f9e4e34f4f0280c3f2a138f51bc95130329da22447644e18d4e0e0f5e624469f&o="
"1777053257-5","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","Simoya Nature Park","Scored 9.8","9.8","Value for money 9.8","Offering garden views, Simoya Nature Park in Dambulla provides accommodations and a garden. Both free Wifi and parking on-site are accessible at the guest house free of charge.","· 362 reviews","Opens in new window","Dambulla","Show prices","Exceptional","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/327593049.webp?k=0fffed7687f1d09cde351cf866810d918d7a9ddac6a7d0821945b313a06a39c7&o="
"1777053257-6","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","Green Earth Resort","Scored 9.8","9.8","Value for money 10","Located in Dambulla, 12 miles from Sigiriya Rock, Green Earth Resort provides accommodations with a garden, free private parking, a terrace and a restaurant.","· 28 reviews","Opens in new window","Dambulla","Show prices","Exceptional","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/728938896.webp?k=5f2d05b29c9a05c0f48557f4f229c8c2874eb038e55e8343430576fecac85056&o="
"1777053257-7","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","Mamisa Café, Home stay","Scored 9.8","9.8","Value for money 9.7","Featuring free Wifi, parking on-site, and an open-air bath, the recently renovated property Mamisa Café, Home stay offers accommodations in Habarana, 7.5 miles from Pidurangala Rock and 8 miles from...","· 96 reviews","Opens in new window","Habarana","Show prices","Exceptional","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/705570005.webp?k=824db8765af454cb6c21e3eb95fde613a142dbcffe1bb9de2e94da98854827d8&o="
"1777053257-8","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","TANTOR RESORT Hotel and spa Habarana","Scored 9.7","9.7","Value for money 9.7","Located in Habarana, 8.2 miles from Pidurangala Rock, TANTOR RESORT Hotel and spa Habarana provides accommodations with an outdoor swimming pool, free private parking, a garden and a terrace.","· 138 reviews","Opens in new window","Habarana","Show prices","Exceptional","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/693706448.webp?k=d94eec0f934dfc3f998567a3d6c14aa1976cd2cf0e9f846129bd43818f5bb637&o="
"1777053257-9","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","Sigiriya Moonlight Home","Scored 9.7","9.7","Value for money 9.9","Offering garden views, Sigiriya Moonlight Home in Sigiriya features accommodations and a garden. This property offers access to a terrace, free private parking, and free Wifi.","· 147 reviews","Opens in new window","Sigiriya","Show prices","Exceptional","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/700031734.webp?k=5aeaf2fce50181f36367098150a3fd254e0a1e953d2dfc7cd31550afbcf63dab&o="
"1777053257-10","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Bht_id%3D222%3Bht_id%3D206%3Btop_destinations%3D6017%3Btop_destinations%3D5509%3Bpopular_nearby_landmarks%3D900074815%3Bpopular_nearby_landmarks%3D900053658%3Bpopular_nearby_landmarks%3D900075026%3Bpopular_nearby_landmarks%3D900059447%3Bpopular_nearby_landmarks%3D900075025%3Bht_id%3D221","","Mashi's Villa","Scored 9.6","9.6","Value for money 9.8","Mashi's Villa is a recently renovated guest house in Sigiriya near Wildlife Range Office - Sigiriya. This property offers access to a terrace, free private parking, and free Wifi.","· 78 reviews","Opens in new window","Sigiriya","Show prices","Exceptional","Show on map","","https://cf.bstatic.com/xdata/images/hotel/square600/704802206.webp?k=6a1342403984e3b496d73855987d8904ecefacc8da640af4b342ff01a8253c82&o="
