web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,image
"1777052628-1","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","Isha Unity Cottage","Centre Area, Nallathanniya","Scored 9.8","9.8","Value for money 9.8","Featuring river views, Isha Unity Cottage in Nallathanniya features accommodations and a garden. This property offers access to a balcony, free private parking, and free Wifi.","· 25 reviews","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/803117910.webp?k=b9276ef03799db5ab27d25d1a3f1aecc6fbcb8aeb53f894a3ef40cbd7e098fe3&o="
"1777052628-2","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","Water Side Cabin","Centre Area, Nallathaniya","Scored 9.7","9.7","Value for money 9.9","Water Side Cabin offers accommodations in Nallathaniya, 19 miles from Hatton Railway Station. This property offers access to a balcony, free private parking, and free Wifi.","· 9 reviews","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/519795884.webp?k=02f705b724261adce6bd208dcee6a1cb67c8286c0a6ec33eaf019b8ea1655e72&o="
"1777052628-3","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","Azenya Nuwara Eliya","Nuwara Eliya","Scored 9.5","9.5","Value for money 9.3","Azenya Nuwara Eliya is located in Nuwara Eliya, just 2.5 miles from Gregory Lake and 6.7 miles from Hakgala Botanical Garden.","· 164 reviews","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/733527238.webp?k=8773e15162c1d36b89158c8d5922bfde46f0aa0004a783bbc63262f16e392eca&o="
"1777052628-4","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","The Walden Nuwara Eliya","Nuwara Eliya City Centre, Nuwara Eliya","Scored 9.5","9.5","Value for money 10","Located in Nuwara Eliya, 1.7 miles from Gregory Lake, The Walden Nuwara Eliya has accommodations with a garden, free private parking, a shared lounge and a terrace.","· 6 reviews","Opens in new window","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/247332050.webp?k=c047b0d0d248decd12dfe8bd3e70fe917661ab6fd097e68a89203f77bd1d7677&o="
"1777052628-5","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","The Bellwood Manor","Nuwara Eliya City Centre, Nuwara Eliya","Scored 9.4","9.4","Value for money 8.6","Located in Nuwara Eliya, 1.2 miles from Gregory Lake, The Bellwood Manor has accommodations with a garden, free private parking, a terrace and a bar.","· 168 reviews","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/445051770.webp?k=195e210c68fed0ce6801f6170794f70ac43ca42bdc7bc99bb6d6c818e227fec1&o="
"1777052628-6","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","The Edgware Cabana","Nuwara Eliya","Scored 9.4","9.4","Value for money 9.1","The Edgware Cabana offers a hot spring bath and a hot tub, as well as air-conditioned accommodations in Nuwara Eliya, 1.2 miles from Gregory Lake.","· 253 reviews","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/680629893.webp?k=b37b72c5f46c3fd6317fa9997b17b202917f471b289d1bf3f540a4d895ab88af&o="
"1777052628-7","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","Water Side Residence","Centre Area, Nallathanniya","Scored 9.4","9.4","Value for money 9.7","Providing lake views, Water Side Residence in Nallathanniya provides accommodations and a shared lounge. This property offers access to a balcony, free private parking, and free Wifi.","· 410 reviews","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/330903965.webp?k=97466708b3841eff4b6f4e9750145f62a6fa0d4b6581cf59a07340d31852d272&o="
"1777052628-8","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","Vegetable Garden House","Centre Area, Nallathanniya","Scored 9.4","9.4","Value for money 9.6","Vegetable Garden House features rooms with free Wifi in the center of Nallathanniya.","· 653 reviews","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/412011358.webp?k=4e48b23a1a955b384638f7661530d871f02cf91d90027dbcbf3fce280ac5df67&o="
"1777052628-9","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","THE EDGWARE","Nuwara Eliya","Scored 9.2","9.2","Value for money 9.0","THE EDGWARE in Nuwara Eliya provides accommodations with a garden and a shared lounge. This guest house provides free private parking, a 24-hour front desk, and free Wifi.","· 780 reviews","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/328059806.webp?k=acf77a7b3d2552f0dead916ab8f70729831d43b02ef50b5bdc42dda769847650&o="
"1777052628-10","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D201%3Bht_id%3D216%3Btop_destinations%3D6006%3Bpopular_nearby_landmarks%3D900053669%3Bpopular_nearby_landmarks%3D900059236%3Bpopular_nearby_landmarks%3D900059439%3Bpopular_nearby_landmarks%3D900059238","","Hotel mango tree nearest Adam's peak","Nallathanniya","Scored 9.2","9.2","Value for money 9.6","Hotel mango tree nearest Adam's peak offers accommodations in Nallathanniya, a few steps from Adam's Peak and 19 miles from Hatton Railway Station. This guest house offers a shared lounge.","· 761 reviews","Opens in new window","Show prices","Wonderful","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/404312977.webp?k=6f20aeddc18bd04c85e2ec92f1c7c270ccc805d64c64ce7ed18fe2b6041bd378&o="
