web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,image
"1777056365-1","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Dilithy Paradise","Scored 10","10","Value for money 10","Dilithy Paradise offers accommodations in Trincomalee, 2.3 miles from Trincomalee Railway Station and 2.7 miles from Kanniya Hot Springs.","· 6 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/840952702.webp?k=7dd0c2ea886a8a5f53235e3257989f1e84980cc62108db06ac47643952fe62b8&o="
"1777056365-2","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Trinco Beachfront Villas AJS","Scored 10","10","Value for money 10","Featuring garden views, Trinco Beachfront Villas AJS in Trincomalee offers accommodations, a private beach area, a garden, and a shared lounge.","· 5 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/819490495.webp?k=0f19397ddb0eed325ea0e5b6b09ed9443910c9f389d36b4eeb096c514949ee51&o="
"1777056365-3","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Jungle View Inn","Scored 9.8","9.8","Value for money 9.5","Jungle View Inn is located in Trincomalee, just 1.5 miles from Velgam Vehera and 6.1 miles from Pigeon Island National Park.","· 19 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/500876790.webp?k=d4399b22f94d9cbed915ac3993699b0cbf83908aee457f7df589c61fa289e65d&o="
"1777056365-4","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Nilaveli Royal Paradise","Scored 9.8","9.8","Value for money 10","Located in Trincomalee, a 9-minute walk from Nilaveli Beach, Nilaveli Royal Paradise provides accommodations with a garden, free private parking, a terrace and a restaurant.","· 5 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/794780560.webp?k=afda3ddecf4bc9ed0d178319581105c62dcb9953c14db9f72d3ce60f88f6a8c6&o="
"1777056365-5","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","New! Mangalam house, Private plunge pool near beach","Scored 9.8","9.8","Value for money 9.6","New! Mangalam house, Private plunge pool near beach is a recently renovated vacation home in Trincomalee where guests can make the most of its outdoor swimming pool, open-air bath, and garden.","· 13 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/850178329.webp?k=e9b9044fe0b567e1495c2887ec15df09882ebae23d42efb46cfc26ac5b1e69b5&o="
"1777056365-6","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Pearl Diamond Resort","Scored 9.7","9.7","Value for money 9.7","Located in Trincomalee, within a few steps of Uppuveli beach and 2.7 miles of Kanniya Hot Springs, Pearl Diamond Resort has accommodations with a shared lounge and free WiFi throughout the property as...","· 32 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/850698585.webp?k=1c9f36bf65d4edc60b5b5b72912ea88a770d7713a1455f1d7954010e77ab3b39&o="
"1777056365-7","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Alass Ga For Pets Lovers","Scored 9.7","9.7","Value for money 9.6","Alass Ga For Pets Lovers features a hot tub and free private parking, and is within a 6-minute walk of Uppuveli beach and 2.5 miles of Kanniya Hot Springs.","· 206 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/646819623.webp?k=6c5564813e4000a92cb7f25eb168cbd05d3eaa5706a8abb7b6b453e7170ddce3&o="
"1777056365-8","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Amanta Beach","Scored 9.6","9.6","Value for money 9.1","Offering a year-round outdoor swimming pool and views of the sea, Amanta Beach is set in Nilaveli, 12 mi from Trincomalee. Each air-conditioned room offers a view. Rooms have a private bathroom.","· 155 reviews","Opens in new window","Nilaveli","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/590162880.webp?k=46a877c526a34d057e7f766bc48001f8a51a635ec7996f51808426ecf6ac0d2d&o="
"1777056365-9","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Aathi Resort","Scored 9.6","9.6","Value for money 9.7","Located in Trincomalee, within 1.7 miles of Uppuveli beach and 4 miles of Kanniya Hot Springs, Aathi Resort has accommodations with a garden and free WiFi throughout the property as well as free...","· 42 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/566863727.webp?k=97ea97d39497524a7cc3bdd8f72b2a8fadc7d614103018e923395a38abbf2476&o="
"1777056365-10","https://www.booking.com/searchresults.html?label=bristol-XLwodozx2dVe8Ts0XeYuawS752260715469%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-869815001187%3Alp1009919%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YXdX6HrtnYy-Ml68sH-ljtU&aid=311984&dest_id=198&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&broad_search_not_eligible=1&order=score&nflt=ht_id%3D204%3Bht_id%3D213%3Bht_id%3D216%3Bht_id%3D220%3Bht_id%3D221%3Btop_destinations%3D6012%3Buf%3D-2237624%3Buf%3D-2230854","","Akshaya Villa Trincomalee","Scored 9.6","9.6","Value for money 9.2","Akshaya Villa Trincomalee is a recently renovated guest house in Trincomalee near Uppuveli beach. This property offers access to a terrace and free private parking. Guests can enjoy city views.","· 13 reviews","Opens in new window","Trincomalee","Show prices","Exceptional","Show on map","https://cf.bstatic.com/xdata/images/hotel/square600/747270464.webp?k=88963617068ea1278849e59a1040a0423813aee321c64c4df6feda699b00a43f&o="
